Gene symbol	Aliases	Description	Disease count
C14orf37	c14_5376	chromosome 14 open reading frame 37	1	
PWAR1	D15S227E, PAR-1, PAR1	Prader Willi/Angelman region RNA 1	1	
DRAIC		downregulated RNA in cancer, inhibitor of cell invasion and migration	1	
ZFP90	FIK, NK10, ZNF756, zfp-90	ZFP90 zinc finger protein	2	
RLTPR	CARMIL2, CARMIL2b, LRRC16C	RGD motif, leucine rich repeats, tropomodulin domain and proline-rich containing	1	
IL34	C16orf77, IL-34	interleukin 34	6	
ZNF688		zinc finger protein 688	1	
RBFOX3	FOX-3, FOX3, HRNBP3, NEUN	RNA binding protein, fox-1 homolog (C. elegans) 3	1	
CD300LF	CD300f, CLM-1, CLM1, IREM-1, IREM1, IgSF13, LMIR3, NKIR	CD300 molecule-like family member f	3	
DNAH2	DNAHC2, DNHD3	dynein, axonemal, heavy chain 2	1	
CRHR1-IT1	C17orf69	CRHR1 intronic transcript 1	1	
CBLN2		cerebellin 2 precursor	2	
LYPD4	SMR	LY6/PLAUR domain containing 4	2	
ZNF524		zinc finger protein 524	1	
TICAM1	IIAE6, MyD88-3, PRVTIRB, TICAM-1, TRIF	toll-like receptor adaptor molecule 1	2	
PM20D1	Cps1	peptidase M20 domain containing 1	1	
SLC30A7	ZNT7, ZnT-7, ZnTL2	solute carrier family 30 (zinc transporter), member 7	1	
GLIS1		GLIS family zinc finger 1	2	
LELP1		late cornified envelope-like proline-rich 1	1	
IL23R		interleukin 23 receptor	17	
CCT8L2	CESK1	chaperonin containing TCP1, subunit 8 (theta)-like 2	1	
YDJC		YdjC homolog (bacterial)	4	
HORMAD2	CT46.2	HORMA domain containing 2	2	
LINC01104		long intergenic non-protein coding RNA 1104	2	
COMMD1	C2orf5, MURR1	copper metabolism (Murr1) domain containing 1	1	
PUS10	CCDC139, DOBI	pseudouridylate synthase 10	4	
PLB1	PLB, PLB/LIP, hPLB	phospholipase B1	1	
GPBAR1	BG37, GPCR19, GPR131, M-BAR, TGR5	G protein-coupled bile acid receptor 1	1	
ASPRV1	MUNO, SASP, SASPase, Taps	aspartic peptidase, retroviral-like 1	2	
PPM1L	PP2C-epsilon, PP2CE, PPM1-LIKE	protein phosphatase, Mg2+/Mn2+ dependent, 1L	2	
LRRC34		leucine rich repeat containing 34	1	
CCDC80	DRO1, SSG1, URB, okuribin	coiled-coil domain containing 80	1	
BTLA	BTLA1, CD272	B and T lymphocyte associated	6	
CCDC13		coiled-coil domain containing 13	1	
C4orf26	AI2A4	chromosome 4 open reading frame 26	1	
DAB2IP	AF9Q34, AIP-1, AIP1, DIP1/2	DAB2 interacting protein	1	
SRFBP1	BUD22, P49, Rlb1, STRAP, p49/STRAP	serum response factor binding protein 1	1	
CNKSR3	MAGI1	CNKSR family member 3	1	
NKAIN2	FAM77B, NKAIP2, TCBA, TCBA1	Na+/K+ transporting ATPase interacting 2	2	
BVES-AS1	C6orf112, bA99L11.2	BVES antisense RNA 1	1	
LOC154449		uncharacterized LOC154449	2	
ZNF746	PARIS	zinc finger protein 746	2	
RDH10	SDR16C4	retinol dehydrogenase 10 (all-trans)	1	
SBSPON	C8orf84, RPESP	somatomedin B and thrombospondin, type 1 domain containing	1	
LINGO2	LERN3, LRRN6C	leucine rich repeat and Ig domain containing 2	1	
FAM47A		family with sequence similarity 47, member A	1	
NKX2-3	CSX3, NK2.3, NKX2.3, NKX2C, NKX4-3	NK2 homeobox 3	4	
TMTC2	IBDBP1	transmembrane and tetratricopeptide repeat containing 2	1	
CLEC12A	CD371, CLL-1, CLL1, DCAL-2, MICL	C-type lectin domain family 12, member A	1	
CLECL1	DCAL-1, DCAL1	C-type lectin-like 1	1	
CCDC122		coiled-coil domain containing 122	1	
TMEM229B	C14orf83	transmembrane protein 229B	1	
MDGA2	MAMDC1, c14_5286	MAM domain containing glycosylphosphatidylinositol anchor 2	2	
SPRED1	NFLS, PPP1R147, hSpred1, spred-1	sprouty-related, EVH1 domain containing 1	1	
ANKFN1		ankyrin-repeat and fibronectin type III domain containing 1	1	
SPPL2C	IMP5	signal peptide peptidase like 2C	1	
ZNF579		zinc finger protein 579	1	
ZNF433		zinc finger protein 433	1	
DENND1B	C1ORF18, C1orf218, FAM31B	DENN/MADD domain containing 1B	3	
IFNLR1	CRF2/12, IFNLR, IL-28R1, IL28RA, LICR2	interferon, lambda receptor 1	4	
PAQR7	MPRA, PGLP, mSR	progestin and adipoQ receptor family member VII	1	
CCDC116		coiled-coil domain containing 116	1	
TMPRSS6	IRIDA	transmembrane protease, serine 6	1	
PARP15	ARTD7, BAL3, pART7	poly (ADP-ribose) polymerase family, member 15	1	
SPATA5	AFG2, SPAF	spermatogenesis associated 5	1	
ADGRA3	GPR125, PGR21, TEM5L	adhesion G protein-coupled receptor A3	1	
OLIG3	Bhlhb7, bHLHe20	oligodendrocyte transcription factor 3	2	
SLC30A8	ZNT8, ZnT-8	solute carrier family 30 (zinc transporter), member 8	2	
IDO2	INDOL1	indoleamine 2,3-dioxygenase 2	1	
GLIS3	ZNF515	GLIS family zinc finger 3	1	
C10orf91	bA432J24.4	chromosome 10 open reading frame 91	1	
CLEC4C	BDCA2, CD303, CLECSF11, CLECSF7, DLEC, HECL, PRO34150	C-type lectin domain family 4, member C	2	
PARK10	AAOPD	Parkinson disease 10 (susceptibility)	1	
AIMP1P1	SCYE1P, bA400P21.1	aminoacyl tRNA synthetase complex-interacting multifunctional protein 1 pseudogene 1	1	
IBD8		inflammatory bowel disease 8	1	
PSORS1C1	C6orf16, SEEK1	psoriasis susceptibility 1 candidate 1	3	
PSORS1C2	C6orf17, SPR1	psoriasis susceptibility 1 candidate 2	2	
SLEH1		systemic lupus erythematosus with hemolytic anemia 1	1	
NUDT10	APS2, DIPP3-alpha, DIPP3a	nudix (nucleoside diphosphate linked moiety X)-type motif 10	1	
ADAMTS15		ADAM metallopeptidase with thrombospondin type 1 motif, 15	1	
GSX2	GSH2	GS homeobox 2	1	
NLRP6	AVR, CLR11.4, NALP6, NAVR, NAVR/AVR, PAN3, PYPAF5	NLR family, pyrin domain containing 6	1	
CLYBL	CLB	citrate lyase beta like	1	
SLEN1		systemic lupus erythematosus with nephritis 1	1	
SLEN2		systemic lupus erythematosus with nephritis 2	1	
SDR16C5	RDH#2, RDH-E2, RDHE2	short chain dehydrogenase/reductase family 16C, member 5	1	
EMX2OS	EMX2-AS1, NCRNA00045	EMX2 opposite strand/antisense RNA	1	
ANO6	BDPLT7, SCTS, TMEM16F	anoctamin 6	1	
LDHD	DLD	lactate dehydrogenase D	1	
MLKL	hMLKL	mixed lineage kinase domain-like	2	
NLRP7	CLR19.4, HYDM, NALP7, NOD12, PAN7, PYPAF3	NLR family, pyrin domain containing 7	1	
TET3	hCG_40738	tet methylcytosine dioxygenase 3	2	
APLF	APFL, C2orf13, PALF, Xip1, ZCCHH1	aprataxin and PNKP like factor	1	
TMEM17		transmembrane protein 17	1	
SPRED2	Spred-2	sprouty-related, EVH1 domain containing 2	3	
SLC39A11	C17orf26, ZIP11	solute carrier family 39, member 11	1	
SLC10A4	P4	solute carrier family 10, member 4	1	
LINC01554	C5orf27, FIS	long intergenic non-protein coding RNA 1554	2	
ERICH5	C8orf47	glutamate-rich 5	1	
C9orf72	ALSFTD, FTDALS	chromosome 9 open reading frame 72	2	
NLRP11	CLR19.6, NALP11, NOD17, PAN10, PYPAF6, PYPAF7	NLR family, pyrin domain containing 11	1	
SAMD9L	C7orf6, DRIF2, UEF1	sterile alpha motif domain containing 9-like	2	
USP12	UBH1, USP12L1	ubiquitin specific peptidase 12	1	
MTIF3	IF3mt	mitochondrial translational initiation factor 3	1	
UNC5B	UNC5H2, p53RDL1	unc-5 netrin receptor B	1	
CCNY	C10orf9, CBCP1, CCNX, CFP1	cyclin Y	2	
RTKN2	PLEKHK1, bA531F24.1	rhotekin 2	2	
FAM124A		family with sequence similarity 124A	1	
ZNF438	bA330O11.1	zinc finger protein 438	2	
MARCH8	CMIR, MARCH-VIII, MIR, RNF178, c-MIR	membrane-associated ring finger (C3HC4) 8, E3 ubiquitin protein ligase	1	
LEMD2	NET25, dJ482C21.1	LEM domain containing 2	2	
JAZF1	TIP27, ZNF802	JAZF zinc finger 1	4	
NAPEPLD	FMP30, NAPE-PLD	N-acyl phosphatidylethanolamine phospholipase D	1	
LOC222344		TNF receptor-associated factor 6	1	
UNC5CL	MUXA, ZUD	unc-5 family C-terminal like	1	
CCDC129		coiled-coil domain containing 129	1	
SLC17A8	DFNA25, VGLUT3	solute carrier family 17 (vesicular glutamate transporter), member 8	1	
VAMAS6	VTLG	Vitiligo	1	
STH	MAPTIT	saitohin	1	
IL27	IL-27, IL-27A, IL27A, IL27p28, IL30, p28	interleukin 27	15	
TECRL	GPSN2L, SRD5A2L2, TERL	trans-2,3-enoyl-CoA reductase-like	1	
HCG27	bCX101P6.9, bPG299F13.9, bQB115I13.2	HLA complex group 27 (non-protein coding)	1	
RICTOR	AVO3, PIA, hAVO3	RPTOR independent companion of MTOR, complex 2	1	
IPMK		inositol polyphosphate multikinase	1	
CADM2	IGSF4D, NECL3, Necl-3, SynCAM 2, synCAM2	cell adhesion molecule 2	1	
MMS22L	C6orf167, dJ39B17.2	MMS22-like, DNA repair protein	1	
WDR27		WD repeat domain 27	1	
CERS6	CERS5, LASS6	ceramide synthase 6	1	
SNX32	SNX6B	sorting nexin 32	1	
SLC41A1	MgtE	solute carrier family 41 (magnesium transporter), member 1	1	
NAALADL2		N-acetylated alpha-linked acidic dipeptidase-like 2	2	
ZDHHC23	NIDD	zinc finger, DHHC-type containing 23	2	
TAC4	EK, HK-1, HK1, PPT-C	tachykinin 4 (hemokinin)	1	
ANKK1	PKK2	ankyrin repeat and kinase domain containing 1	1	
COL6A5	COL29A1, VWA4	collagen, type VI, alpha 5	1	
TCERG1L		transcription elongation regulator 1-like	1	
C10orf67		chromosome 10 open reading frame 67	2	
FRMD3	4.1O, EPB41L4O, EPB41LO, P410	FERM domain containing 3	1	
ZNF683	Hobit	zinc finger protein 683	1	
ARHGAP30		Rho GTPase activating protein 30	1	
NEGR1	DMML2433, IGLON4, KILON, Ntra	neuronal growth regulator 1	1	
NCR3	1C7, CD337, LY117, MALS, NKp30	natural cytotoxicity triggering receptor 3	3	
ASPM	ASP, Calmbp1, MCPH5	asp (abnormal spindle) homolog, microcephaly associated (Drosophila)	1	
MAGI3	MAGI-3, dJ730K3.2	membrane associated guanylate kinase, WW and PDZ domain containing 3	1	
COPD		Pulmonary disease, chronic obstructive, severe early-onset	1	
TVP23CP2	CGI-148P	TVP23C pseudogene 2	1	
DAOA	LG72, SG72	D-amino acid oxidase activator	1	
HLA-N	HLA-30	major histocompatibility complex, class I, N (pseudogene)	1	
IFNL2	IL-28A, IL28A	interferon, lambda 2	1	
IFNL3	IL-28B, IL28B, IL28C	interferon, lambda 3	3	
IFNL1	IL-29, IL29	interferon, lambda 1	5	
SLEN3		systemic lupus erythematosus with nephritis 3	1	
BLOC1S2	BLOS2, CEAP, CEAP11	biogenesis of lysosomal organelles complex-1, subunit 2	2	
H19	ASM, ASM1, BWS, D11S813E, LINC00008, NCRNA00008, WT2	H19, imprinted maternally expressed transcript (non-protein coding)	1	
NEAT1	LINC00084, NCRNA00084, TncRNA, VINC	nuclear paraspeckle assembly transcript 1 (non-protein coding)	1	
CCDC88B	BRLZ, CCDC88, HKRP3, gipie	coiled-coil domain containing 88B	3	
MUC19	MUC-19	mucin 19, oligomeric	2	
ST20-AS1	C15orf37	ST20 antisense RNA 1	1	
LOC283710		uncharacterized LOC283710	1	
C17orf78		chromosome 17 open reading frame 78	1	
GSDMA	FKSG9, GSDM, GSDM1	gasdermin A	2	
PTRF	CAVIN, CAVIN1, CGL4, FKSG13, cavin-1	polymerase I and transcript release factor	1	
METRNL		meteorin, glial cell differentiation regulator-like	3	
LINC00907		long intergenic non-protein coding RNA 907	1	
SMIM21	C18orf62	small integral membrane protein 21	1	
MAMSTR	MASTR	MEF2 activating motif and SAP domain containing transcriptional regulator	1	
IZUMO1	IZUMO	izumo sperm-egg fusion 1	1	
ACTL9	HSD21	actin-like 9	1	
VSTM1	SIRL-1, SIRL1, UNQ3033	V-set and transmembrane domain containing 1	2	
RSPO1	CRISTIN3, RSPO	R-spondin 1	1	
C1orf204		chromosome 1 open reading frame 204	1	
MIR646HG		MIR646 host gene	1	
SLC9A9	AUTS16, NHE9	solute carrier family 9, subfamily A (NHE9, cation proton antiporter 9), member 9	1	
SUMF1	AAPA3037, FGE, UNQ3037	sulfatase modifying factor 1	2	
DOK7	C4orf25, CMS10, CMS1B	docking protein 7	1	
LOC285626		uncharacterized LOC285626	3	
HLA-F-AS1		HLA-F antisense RNA 1	1	
TPI1P2		triosephosphate isomerase 1 pseudogene 2	3	
XKR6	C8orf21, C8orf5, C8orf7, XRG6	XK, Kell blood group complex subunit-related family, member 6	1	
NKAIN3	FAM77D	Na+/K+ transporting ATPase interacting 3	1	
ILDR1	DFNB42, ILDR1alpha, ILDR1alpha', ILDR1beta	immunoglobulin-like domain containing receptor 1	1	
IBD9		inflammatory bowel disease 9	1	
CELIAC2	CD, GSE	celiac disease 2	1	
RPL12P7	RPL12_16_1383	ribosomal protein L12 pseudogene 7	1	
RAB37		RAB37, member RAS oncogene family	2	
UBAC2	PHGDHL1	UBA domain containing 2	2	
NLRP10	CLR11.1, NALP10, NOD8, PAN5, PYNOD	NLR family, pyrin domain containing 10	1	
S100A7A	NICE-2, S100A15, S100A7L1, S100A7f	S100 calcium binding protein A7A	1	
CELIAC5	GSES	Celiac disease, susceptibility to, 5	1	
HCAR2	GPR109A, HCA2, HM74a, HM74b, NIACR1, PUMAG, Puma-g	hydroxycarboxylic acid receptor 2	1	
C12orf74		chromosome 12 open reading frame 74	1	
PRSS53	POL3S, UNQ308	protease, serine, 53	2	
FAM92B		family with sequence similarity 92, member B	1	
C17orf51		chromosome 17 open reading frame 51	1	
ADAMTSL5	THSD6	ADAMTS-like 5	1	
FLG-AS1		FLG antisense RNA 1	1	
LINC01343		long intergenic non-protein coding RNA 1343	1	
BRINP3	DBCCR1L, DBCCR1L1, FAM5C	bone morphogenetic protein/retinoic acid inducible neural-specific 3	1	
C2orf74		chromosome 2 open reading frame 74	2	
ASS1P7	ASSP7	argininosuccinate synthetase 1 pseudogene 7	1	
TMEM173	ERIS, MITA, MPYS, NET23, SAVI, STING, hMITA, hSTING	transmembrane protein 173	1	
TSPAN33	PEN, PEN., TSPAN-33	tetraspanin 33	1	
AGBL3	CCP3	ATP/GTP binding protein-like 3	1	
RPS5P5	RPS5_2_920	ribosomal protein S5 pseudogene 5	1	
HMX3	NKX-5.1, NKX5.1, Nkx5-1	H6 family homeobox 3	1	
MALRD1	C10orf112, DIET1, bA265G8.2	MAM and LDL receptor class A domain containing 1	1	
TMC3		transmembrane channel-like 3	1	
ZNF774		zinc finger protein 774	1	
RPS2P6	RPS2_22_1612	ribosomal protein S2 pseudogene 6	1	
NCKAP5	ERIH1, ERIH2, NAP5	NCK-associated protein 5	1	
IRGM	IFI1, IRGM1, LRG-47, LRG47	immunity-related GTPase family, M	5	
PDDC1		Parkinson disease 7 domain containing 1	1	
LINC01193	CT60	long intergenic non-protein coding RNA 1193	5	
HCG26	3.8-1, NCRNA00191, bCX205D4.4, bPG181B23.4	HLA complex group 26 (non-protein coding)	1	
LCE3A	LEP13	late cornified envelope 3A	2	
LCE3B	LEP14	late cornified envelope 3B	3	
LCE3C	LEP15, SPRL3A	late cornified envelope 3C	2	
LILRA5	CD85, CD85F, ILT-11, ILT11, LILRB7, LIR-9, LIR9	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 5	1	
MRPS35P3		mitochondrial ribosomal protein S35 pseudogene 3	1	
PSORS9		psoriasis susceptibility 9	1	
IRF2BP2		interferon regulatory factor 2 binding protein 2	1	
ZBTB41	FRBZ1, ZNF924	zinc finger and BTB domain containing 41	1	
GSTK1	GST, GST 13-13, GST13, GST13-13, GSTK1-1, hGSTK1	glutathione S-transferase kappa 1	3	
GALNT18	GALNACT18, GALNT15, GALNTL4, GalNAc-T15, GalNAc-T18	polypeptide N-acetylgalactosaminyltransferase 18	1	
NCR3LG1	B7-H6, B7H6, DKFZp686O24166	natural killer cell cytotoxicity receptor 3 ligand 1	1	
MIA3	ARNT, D320, TANGO, TANGO1, UNQ6077	melanoma inhibitory activity family, member 3	1	
ENHO	C9orf165, UNQ470	energy homeostasis associated	1	
AGRN	CMS8, CMSPPD	agrin	1	
AIS2	VAMAS3	autoimmune susceptibility 2	1	
AIS3	VAMAS4	autoimmune susceptibility 3 (vitiligo specific)	1	
LINC00162	C21orf113, NCRNA00162, NLC1-C, NLC1C, PRED74	long intergenic non-protein coding RNA 162	1	
CHKB-CPT1B	CHKL-CPT1B	CHKB-CPT1B readthrough (NMD candidate)	1	
IL31	IL-31	interleukin 31	6	
AMIGO3	ALI3, AMIGO-3	adhesion molecule with Ig-like domain 3	1	
RPL8P1	RPL2p, RPL8P, dJ15D7.1	ribosomal protein L8 pseudogene 1	1	
SUMO4	IDDM5, SMT3H4, SUMO-4, dJ281H8.4	small ubiquitin-like modifier 4	4	
CENPW	C6orf173, CENP-W, CUG2	centromere protein W	1	
UBQLN1P1	UBQLN1P	ubiquilin 1 pseudogene 1	1	
WASF5P		WAS protein family, member 5, pseudogene	1	
NPSR1	ASRT2, GPR154, GPRA, NPSR, PGR14, VRR1	neuropeptide S receptor 1	4	
C6orf120	bA160E12.4	chromosome 6 open reading frame 120	1	
THEMIS	C6orf190, C6orf207, GASP, SPOT, TSEPA, bA325O24.3, bA325O24.4	thymocyte selection associated	3	
AITD1		Autoimmune thyroid disease, susceptibility to, 1	1	
AITD2		Autoimmune thyroid disease, susceptibility to, 2	1	
AITD4		Autoimmune thyroid disease, susceptibility to, 4	1	
GVINP1	GVIN1, GVIN1P, VLIG-1, VLIG1	GTPase, very large interferon inducible pseudogene 1	1	
LINC01551	C14orf23, c14_5148	long intergenic non-protein coding RNA 1551	1	
RTL1	MART1, Mar1, PEG11	retrotransposon-like 1	1	
C16orf47		chromosome 16 open reading frame 47	1	
CCL4L1	AT744.2, CCL4L, LAG-1, LAG1, SCYA4L, SCYA4L1	chemokine (C-C motif) ligand 4-like 1	1	
FAM69A		family with sequence similarity 69, member A	1	
HRNR	FLG3, S100A16, S100a18	hornerin	2	
FLG2	IFPS	filaggrin family member 2	2	
C1orf53		chromosome 1 open reading frame 53	1	
SLC9A4	NHE4	solute carrier family 9, subfamily A (NHE4, cation proton antiporter 4), member 4	1	
LEKR1		leucine, glutamate and lysine rich 1	1	
GRXCR1	DFNB25, PPP1R88	glutaredoxin, cysteine rich 1	1	
FAM180A	UNQ1940	family with sequence similarity 180, member A	1	
RBM12B	MGC:33837	RNA binding motif protein 12B	1	
MAFA	RIPE3b1, hMafA	v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog A	1	
OR4N2	OR14-13, OR14-8	olfactory receptor, family 4, subfamily N, member 2	1	
OR10R3P	OR1-9	olfactory receptor, family 10, subfamily R, member 3 pseudogene	1	
RPS12P4	RPS12_1_210	ribosomal protein S12 pseudogene 4	1	
USP17L9P	RS447, USP17, USP17A, USP17H, USP17I, USP17J, USP17K, USP17L, USP17M	ubiquitin specific peptidase 17-like family member 9, pseudogene	1	
HSP90AB2P	HSP90BB	heat shock protein 90kDa alpha (cytosolic), class B member 2, pseudogene	1	
GDF6	BMP-13, BMP13, CDMP2, KFM, KFS, KFS1, KFSL, LCA17, MCOP4, MCOPCB6, SCDO4, SGM1	growth differentiation factor 6	1	
MUC21	C6orf205, KMQK697, MUC-21	mucin 21, cell surface associated	1	
LOC399716	DKFZp667F0711	uncharacterized LOC399716	2	
ST20	HCCS-1	suppressor of tumorigenicity 20	1	
C1orf141		chromosome 1 open reading frame 141	3	
IL17REL		interleukin 17 receptor E-like	1	
LINC01185		long intergenic non-protein coding RNA 1185	1	
LINC00243	C6orf214, NCRNA00243	long intergenic non-protein coding RNA 243	1	
ZNF815P	ZNF815	zinc finger protein 815, pseudogene	1	
SAMD12		sterile alpha motif domain containing 12	1	
MGC57346		ADP-ribosylation factor pseudogene	1	
KPNA7		karyopherin alpha 7 (importin alpha 8)	1	
FLJ31356		uncharacterized protein FLJ31356	1	
APOBEC4	C1orf169	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 4 (putative)	1	
CUEDC1		CUE domain containing 1	1	
SPINK6	BUSI2, UNQ844	serine peptidase inhibitor, Kazal type 6	1	
CIMT		Carotid intimal medial thickness	7	
SLEB4		systemic lupus erythematosus, susceptibility to, 4	1	
DUOXA2	SIMNIPHOM, TDH5	dual oxidase maturation factor 2	2	
MIRLET7D	LET7D, MIRNLET7D, hsa-let-7d, let-7d	microRNA let-7d	1	
MIRLET7E	LET7E, MIRNLET7E, hsa-let-7e, let-7e	microRNA let-7e	3	
MIRLET7I	LET7I, MIRNLET7I, hsa-let-7i, let-7i	microRNA let-7i	2	
MIR106A	MIRN106A, mir-106, mir-106a	microRNA 106a	1	
MIR106B	MIRN106B, mir-106b	microRNA 106b	1	
MIR10A	MIRN10A, hsa-mir-10a, miRNA10A, mir-10a	microRNA 10a	1	
MIR122	MIR122A, MIRN122, MIRN122A, hsa-mir-122, miRNA122, miRNA122A, mir-122	microRNA 122	4	
MIR124-1	MIR124A, MIR124A1, MIRN124-1, MIRN124A1, mir-124-1	microRNA 124-1	1	
MIR125A	MIRN125A, miRNA125A, mir-125a	microRNA 125a	4	
MIR126	MIRN126, miRNA126, mir-126	microRNA 126	4	
MIR130A	MIRN130A, miRNA130A, mir-130a	microRNA 130a	4	
MIR130B	MIRN130B, mir-130b	microRNA 130b	1	
MIR132	MIRN132, miRNA132, mir-132	microRNA 132	1	
MIR141	MIRN141, mir-141	microRNA 141	2	
MIR143	MIRN143, mir-143	microRNA 143	1	
MIR145	MIRN145, miR-145, miRNA145	microRNA 145	3	
MIR146A	MIRN146, MIRN146A, miR-146a, miRNA146A	microRNA 146a	11	
MIR148A	MIRN148, MIRN148A, hsa-mir-148, mir-148a	microRNA 148a	2	
MIR150	MIRN150, miRNA150, mir-150	microRNA 150	3	
MIR155	MIRN155, miRNA155, mir-155	microRNA 155	12	
MIR15A	MIRN15A, hsa-mir-15a, miRNA15A, mir-15a	microRNA 15a	2	
MIR15B	MIRN15B, hsa-mir-15b, miR-15b	microRNA 15b	2	
MIR17	MIR17-5p, MIR91, MIRN17, MIRN91, hsa-mir-17, miR-17, miR17-3p, miRNA17, miRNA91	microRNA 17	2	
MIR181C	MIRN181C, mir-181c	microRNA 181c	2	
MIR182	MIRN182, miRNA182, mir-182	microRNA 182	1	
MIR185	MIRN185, miR-185	microRNA 185	1	
MIR192	MIRN192, miR-192, miRNA192	microRNA 192	1	
MIR195	MIRN195, miRNA195, mir-195	microRNA 195	1	
MIR196A2	MIRN196-2, MIRN196A2, mir-196a-2	microRNA 196a-2	4	
MIR197	MIRN197, miR-197, miRNA197	microRNA 197	2	
MIR199A2	MIR-199-s, MIRN199A2, mir-199a-2	microRNA 199a-2	1	
MIR19A	MIRN19A, hsa-mir-19a, miR-19a, miRNA19A	microRNA 19a	2	
MIR19B1	MIR19B, MIRN19B1, miR-19b-1, miRNA19B1	microRNA 19b-1	2	
MIR20A	MIR20, MIRN20, MIRN20A, hsa-mir-20, hsa-mir-20a, miR-20, miRNA20A, mir-20a	microRNA 20a	2	
MIR200A	MIRN200A, mir-200a	microRNA 200a	1	
MIR200C	MIRN200C, mir-200c	microRNA 200c	1	
MIR203A	MIR203, MIRN203, hsa-mir-203a, miR-203, miRNA203, mir-203a	microRNA 203a	2	
MIR205	MIRN205, mir-205	microRNA 205	1	
MIR206	MIRN206, miRNA206, mir-206	microRNA 206	4	
MIR21	MIRN21, hsa-mir-21, miR-21, miRNA21	microRNA 21	8	
MIR210	MIRN210, mir-210	microRNA 210	2	
MIR214	MIRN214, miRNA214, mir-214	microRNA 214	2	
MIR215	MIRN215, miRNA215, mir-215	microRNA 215	2	
MIR217	MIRN217, mir-217	microRNA 217	1	
MIR22	MIRN22, hsa-mir-22, miR-22	microRNA 22	5	
MIR221	MIRN221, miRNA221, mir-221	microRNA 221	2	
MIR222	MIRN222, miRNA222, mir-222	microRNA 222	1	
MIR223	MIRN223, miRNA223, mir-223	microRNA 223	6	
MIR25	MIRN25, hsa-mir-25, miR-25	microRNA 25	1	
MIR26A1	MIR26A, MIRN26A1, mir-26a-1	microRNA 26a-1	3	
MIR26B	MIRN26B, hsa-mir-26b, miR-26b	microRNA 26b	2	
MIR27A	MIR27, MIRN27A, mir-27a	microRNA 27a	3	
MIR29A	MIRN29, MIRN29A, hsa-mir-29, hsa-mir-29a, miRNA29A, mir-29a	microRNA 29a	5	
MIR29B1	MIRN29B1, miRNA29B1, mir-29b-1	microRNA 29b-1	1	
MIR30A	MIRN30A, mir-30a	microRNA 30a	1	
MIR30C1	MIRN30C1, mir-30c-1	microRNA 30c-1	1	
MIR31	MIRN31, hsa-mir-31, miR-31	microRNA 31	4	
MIR320A	MIRN320, MIRN320A, hsa-mir-320a, mir-320a	microRNA 320a	1	
MIR34A	MIRN34A, miRNA34A, mir-34, mir-34a	microRNA 34a	1	
MIR34B	MIRN34B, miRNA34B, mir-34b	microRNA 34b	1	
MIR93	MIRN9, MIRN93, hsa-mir-93, miR-93	microRNA 93	1	
MIR9-3	MIRN9-3, hsa-mir-9-3, miRNA9-3, mir-9-3	microRNA 9-3	1	
MIR95	MIRN95, hsa-mir-95, miR-95	microRNA 95	1	
MIR98	MIRN98, hsa-mir-98, miR-98	microRNA 98	1	
MIR99B	MIRN99B, mir-99b	microRNA 99b	1	
MIR17HG	C13orf25, FGLDS2, LINC00048, MIHG1, MIRH1, MIRHG1, NCRNA00048, miR-17-92	miR-17-92 cluster host gene	1	
TNFSF12-TNFSF13	TWE-PRIL	TNFSF12-TNFSF13 readthrough	1	
C10orf55	bA417O11.3	chromosome 10 open reading frame 55	1	
DEFB103A	BD-3, DEFB-3, DEFB103, DEFB3, HBD3, HBP-3, HBP3, hBD-3	defensin, beta 103A	5	
PIM3	pim-3	Pim-3 proto-oncogene, serine/threonine kinase	1	
RGS21		regulator of G-protein signaling 21	1	
ODF3B	ODF3L3	outer dense fiber of sperm tails 3B	1	
CAPN14		calpain 14	1	
C5orf56		chromosome 5 open reading frame 56	3	
FAM26F	C6orf187, dJ93H18.5	family with sequence similarity 26, member F	2	
CDNF	ARMETL1	cerebral dopamine neurotrophic factor	1	
RPL7AP9	RPL7AP59, RPL7A_24_1258, rpL7a	ribosomal protein L7a pseudogene 9	1	
OR2I1P	HS6M1-14, OR2I1, OR2I2, OR2I3P, OR2I4P, OR2I5P, OR2I6, OR2I7P, OR2I8P, OR2I9P, OR6-1, OR6-34	olfactory receptor, family 2, subfamily I, member 1 pseudogene	1	
MYL8P	BING3	myosin, light chain 8, pseudogene	1	
RPS2P34	RPS2_16_990	ribosomal protein S2 pseudogene 34	1	
LOC442427		putative UPF0607 protein ENSP00000381418	1	
MIR323A	MIR323, MIRN323, hsa-mir-323, hsa-mir-323a, mir-323a	microRNA 323a	1	
MIR326	MIRN326, hsa-mir-326, mir-326	microRNA 326	2	
MIR328	MIRN328, hsa-mir-328, mir-328	microRNA 328	1	
MIR346	MIRN346, hsa-mir-346, miR-346, miRNA346	microRNA 346	2	
RA1		Rheumatoid arthritis QTL 01	1	
RA2		Rheumatoid arthritis QTL 01	1	
RA3		Rheumatoid arthritis QTL 02	1	
RA4		Rheumatoid arthritis QTL 04	1	
RA5		Rheumatoid arthritis QTL 01	1	
RA6		Rheumatoid arthritis QTL 06	1	
RA7		Rheumatoid arthritis QTL 07	1	
RA8		Rheumatoid arthritis QTL 08	1	
